epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,180.974,1.46257,2.59581,1.54009,0.13548,0.38859,0.18001,0.09838,1.56005,2.58378,1.68914,0.00333057,0.00333057,0.0700249
2,338.497,1.42135,2.29903,1.53098,0.38142,0.4287,0.32561,0.19305,1.44114,2.24438,1.6161,0.00644399,0.00644399,0.039805
3,491.386,1.3186,2.05142,1.45443,0.36466,0.48568,0.39378,0.23766,1.3591,1.91381,1.56772,0.00933742,0.00933742,0.00936506
4,643.338,1.24571,1.90822,1.41269,0.37949,0.6263,0.51921,0.32433,1.18147,1.66744,1.4134,0.00901,0.00901,0.00901
5,797.095,1.17279,1.75442,1.36523,0.60193,0.58224,0.5988,0.40581,1.15352,1.4775,1.33074,0.00868,0.00868,0.00868
6,949.494,1.14015,1.66716,1.33771,0.61103,0.58927,0.60419,0.40849,1.10494,1.43423,1.31322,0.00835,0.00835,0.00835
7,1100.54,1.09485,1.57314,1.30731,0.53581,0.62553,0.59649,0.4105,1.12293,1.43385,1.33575,0.00802,0.00802,0.00802
8,1252.99,1.05725,1.47927,1.28334,0.70647,0.56082,0.65514,0.4595,1.03073,1.24077,1.26625,0.00769,0.00769,0.00769
9,1404.38,1.03701,1.44112,1.27089,0.72372,0.61839,0.68348,0.49074,1.02003,1.18594,1.2406,0.00736,0.00736,0.00736
10,1555.42,1.02264,1.39531,1.25408,0.69582,0.60919,0.6779,0.48862,1.03639,1.19614,1.26108,0.00703,0.00703,0.00703
11,1709.91,0.98501,1.33028,1.23721,0.72172,0.59318,0.69638,0.49,1.00874,1.20466,1.24639,0.0067,0.0067,0.0067
12,1862.96,0.96294,1.29962,1.22196,0.60988,0.73687,0.72833,0.52525,1.00459,1.11951,1.23746,0.00637,0.00637,0.00637
13,2014.46,0.95453,1.26784,1.21836,0.74375,0.54745,0.67038,0.48187,1.00666,1.22202,1.23479,0.00604,0.00604,0.00604
14,2165.96,0.93979,1.22471,1.20651,0.57914,0.7307,0.72681,0.53643,0.95239,1.09669,1.18482,0.00571,0.00571,0.00571
15,2317.37,0.92308,1.18065,1.20099,0.6963,0.6726,0.75125,0.55202,0.96341,1.05908,1.19555,0.00538,0.00538,0.00538
16,2468.73,0.90061,1.14867,1.18252,0.65478,0.76279,0.76863,0.56654,0.94366,1.02575,1.17981,0.00505,0.00505,0.00505
17,2624.22,0.88885,1.12644,1.17924,0.58295,0.73374,0.72976,0.53984,0.92779,1.08343,1.1707,0.00472,0.00472,0.00472
18,2775.34,0.88504,1.09718,1.16779,0.64977,0.70132,0.7519,0.55765,0.92441,1.03517,1.16705,0.00439,0.00439,0.00439
19,2926.1,0.86516,1.06033,1.16078,0.68332,0.73675,0.77768,0.58501,0.91395,0.99964,1.1503,0.00406,0.00406,0.00406
20,3076.55,0.84922,1.02437,1.14987,0.66165,0.72514,0.74526,0.55654,0.91906,0.98544,1.14944,0.00373,0.00373,0.00373
21,3220.55,0.70359,0.73127,1.07108,0.64227,0.74123,0.74765,0.54904,0.91576,0.98132,1.15801,0.0034,0.0034,0.0034
22,3364.64,0.67963,0.67074,1.05352,0.73702,0.70917,0.77248,0.57624,0.90396,0.94051,1.15556,0.00307,0.00307,0.00307
23,3514.18,0.65719,0.63296,1.03736,0.73236,0.72,0.75864,0.57055,0.91234,0.95601,1.15899,0.00274,0.00274,0.00274
24,3659.76,0.64476,0.59561,1.03171,0.68295,0.75771,0.78688,0.5975,0.8915,0.91483,1.13982,0.00241,0.00241,0.00241
25,3804.95,0.62534,0.56498,1.01577,0.66856,0.781,0.77673,0.58102,0.89,0.95494,1.13355,0.00208,0.00208,0.00208
26,3949.14,0.61031,0.5415,1.01221,0.74299,0.70693,0.77756,0.5832,0.90367,0.94896,1.15809,0.00175,0.00175,0.00175
27,4094.62,0.59206,0.51343,0.99838,0.71027,0.76168,0.77644,0.59665,0.87339,0.91465,1.12941,0.00142,0.00142,0.00142
28,4239.52,0.57826,0.4917,0.99068,0.72839,0.74006,0.78671,0.59626,0.86222,0.88078,1.11647,0.00109,0.00109,0.00109
29,4385.83,0.56329,0.46854,0.98298,0.73214,0.72244,0.7871,0.59905,0.85687,0.89276,1.12181,0.00076,0.00076,0.00076
30,4532.81,0.55395,0.4497,0.97789,0.74894,0.71615,0.78479,0.60368,0.84719,0.91098,1.11066,0.00043,0.00043,0.00043
