epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,350.244,0.65759,0.58832,1.24461,0.73868,0.74691,0.77819,0.58266,0.97059,1.02421,1.58634,0.000415809,0.000415809,0.000415809
2,687.88,0.63997,0.57282,1.20287,0.75284,0.72548,0.77821,0.58552,0.95248,1.01609,1.57145,0.000827237,0.000827237,0.000827237
3,1023.94,0.63561,0.56237,1.1893,0.74112,0.72869,0.77184,0.58063,0.95364,1.0155,1.55933,0.000812819,0.000812819,0.000812819
4,1356.49,0.62901,0.56478,1.18518,0.72936,0.74541,0.78321,0.58861,0.95491,0.98888,1.54635,0.000788058,0.000788058,0.000788058
5,1692.65,0.61565,0.54696,1.17106,0.73856,0.73876,0.78136,0.58827,0.9368,1.01096,1.54267,0.000754251,0.000754251,0.000754251
6,2022.01,0.61979,0.5551,1.176,0.71988,0.75893,0.77604,0.58596,0.93074,1.00112,1.52839,0.00071223,0.00071223,0.00071223
7,2352.66,0.61043,0.54235,1.16543,0.6951,0.75549,0.77403,0.58067,0.94501,1.03929,1.54372,0.000663029,0.000663029,0.000663029
8,2683.53,0.60775,0.53657,1.1607,0.71644,0.74253,0.77712,0.58965,0.94304,1.01362,1.5433,0.000607861,0.000607861,0.000607861
9,3012.88,0.60695,0.53736,1.15834,0.71761,0.75706,0.78381,0.58904,0.93269,0.97806,1.52433,0.000548084,0.000548084,0.000548084
10,3343.42,0.60091,0.529,1.15124,0.74357,0.7347,0.78569,0.58789,0.93514,1.00487,1.5312,0.000485168,0.000485168,0.000485168
11,3657.77,0.5748,0.43891,1.19722,0.75802,0.74207,0.78633,0.58934,0.93931,0.99288,1.54309,0.000420665,0.000420665,0.000420665
12,3977.48,0.55269,0.40943,1.17327,0.74534,0.74994,0.78592,0.59558,0.93788,0.98247,1.54934,0.000356162,0.000356162,0.000356162
13,4291.53,0.54613,0.40282,1.16636,0.73749,0.75198,0.78264,0.59166,0.9423,1.00463,1.55377,0.000293246,0.000293246,0.000293246
14,4607.07,0.53958,0.3945,1.16092,0.73607,0.74945,0.7847,0.59334,0.93555,0.9883,1.54312,0.000233469,0.000233469,0.000233469
15,5415.42,0.53538,0.39399,1.15994,0.73842,0.76536,0.78913,0.59864,0.93325,0.97296,1.5398,0.000178301,0.000178301,0.000178301
16,5728.2,0.52594,0.38807,1.15039,0.73043,0.75093,0.78783,0.59869,0.93825,0.988,1.54906,0.0001291,0.0001291,0.0001291
17,6040.23,0.5269,0.38656,1.15426,0.72299,0.77059,0.78511,0.59673,0.93609,0.98329,1.54872,8.7079e-05,8.7079e-05,8.7079e-05
18,6351.72,0.52525,0.38165,1.14445,0.72515,0.76383,0.78146,0.59435,0.93754,0.99367,1.55009,5.32718e-05,5.32718e-05,5.32718e-05
19,6662.37,0.52911,0.38899,1.15843,0.72607,0.75566,0.78189,0.59357,0.93656,0.99551,1.5473,2.85111e-05,2.85111e-05,2.85111e-05
20,6973.11,0.52159,0.38277,1.14153,0.72408,0.76257,0.78627,0.59651,0.93323,0.98727,1.54564,1.34065e-05,1.34065e-05,1.34065e-05
