epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,352.239,0.91038,4.82147,0.01682,0.59763,0.37706,0.39231,0.30214,0.83838,4.80899,0.02004,0.000277436,0.000277436,0.000277436
2,652.423,0.94798,2.65489,0.01749,0.51117,0.62772,0.59026,0.45092,0.87995,2.22359,0.02043,0.000554561,0.000554561,0.000554561
3,948.77,0.9617,1.82529,0.01775,0.69679,0.62225,0.6691,0.50467,0.90511,1.60252,0.02181,0.000829519,0.000829519,0.000829519
4,1249.31,0.97559,1.50841,0.01821,0.62562,0.6808,0.71434,0.54903,0.88325,1.30382,0.02066,0.000825696,0.000825696,0.000825696
5,1547.82,0.94865,1.3284,0.01763,0.62253,0.69483,0.72919,0.54979,0.92777,1.12903,0.02182,0.000820046,0.000820046,0.000820046
6,1835.58,0.9431,1.24815,0.01755,0.68141,0.68432,0.74085,0.56514,0.90905,1.10834,0.02142,0.000812819,0.000812819,0.000812819
7,2122.79,0.92691,1.14728,0.01694,0.68367,0.69548,0.71381,0.54743,0.89192,1.06556,0.0211,0.000804044,0.000804044,0.000804044
8,2410.28,0.91797,1.07244,0.01678,0.66748,0.7314,0.76072,0.58881,0.87675,1.03466,0.0206,0.000793757,0.000793757,0.000793757
9,2697.23,0.90507,1.03744,0.01625,0.71534,0.69227,0.74117,0.5678,0.87975,0.97873,0.02059,0.000781997,0.000781997,0.000781997
10,2985.57,0.88539,0.9672,0.016,0.7727,0.71621,0.79506,0.61244,0.87755,0.95053,0.02046,0.000768811,0.000768811,0.000768811
11,3272.85,0.87629,0.91843,0.01595,0.72218,0.71695,0.7829,0.61366,0.86275,0.92928,0.02007,0.000754251,0.000754251,0.000754251
12,3561.74,0.86102,0.90264,0.01566,0.76315,0.73897,0.76623,0.58655,0.88,0.97925,0.02045,0.000738375,0.000738375,0.000738375
13,3847.86,0.85598,0.87948,0.01537,0.70924,0.7149,0.76763,0.59656,0.86495,0.9627,0.01986,0.000721244,0.000721244,0.000721244
14,4134.87,0.84829,0.83492,0.01514,0.76091,0.69935,0.78234,0.60982,0.85498,0.90292,0.01988,0.000702928,0.000702928,0.000702928
15,4423.57,0.84439,0.81472,0.01529,0.76367,0.77186,0.79756,0.6261,0.84005,0.94999,0.01954,0.000683497,0.000683497,0.000683497
16,4710.31,0.82648,0.7894,0.01487,0.70974,0.78613,0.78292,0.61043,0.85946,0.99927,0.02049,0.000663029,0.000663029,0.000663029
17,4997.96,0.80998,0.76458,0.01444,0.69014,0.77827,0.76779,0.59875,0.8116,0.99027,0.01871,0.000641605,0.000641605,0.000641605
18,5302.36,0.82008,0.74572,0.01443,0.76187,0.71033,0.7526,0.58702,0.83973,1.06886,0.0194,0.000619309,0.000619309,0.000619309
19,5604.88,0.80197,0.73752,0.01447,0.72271,0.75553,0.76552,0.59992,0.84229,0.98238,0.01949,0.000596229,0.000596229,0.000596229
20,5907.28,0.78554,0.68999,0.01399,0.72924,0.77065,0.80544,0.63354,0.82184,0.926,0.01922,0.000572456,0.000572456,0.000572456
21,6209.84,0.78868,0.68719,0.01405,0.75595,0.75222,0.77665,0.61146,0.80462,0.94583,0.01881,0.000548084,0.000548084,0.000548084
22,6507.35,0.79043,0.67575,0.01402,0.7393,0.76037,0.76834,0.60371,0.84839,0.93656,0.01972,0.000523209,0.000523209,0.000523209
23,6805.37,0.77566,0.65217,0.0139,0.75735,0.68876,0.7704,0.61161,0.79638,0.96516,0.01815,0.000497929,0.000497929,0.000497929
24,7105.49,0.75523,0.62804,0.01343,0.73831,0.72965,0.76539,0.6042,0.81068,0.97568,0.01867,0.000472344,0.000472344,0.000472344
25,7402.15,0.73841,0.60101,0.01311,0.79886,0.71572,0.80311,0.63483,0.83177,0.93367,0.01905,0.000446556,0.000446556,0.000446556
26,7698.9,0.73965,0.59975,0.01318,0.7613,0.75476,0.81684,0.64765,0.80623,0.96783,0.01867,0.000420665,0.000420665,0.000420665
27,7999.6,0.73252,0.57638,0.01281,0.7608,0.71778,0.77362,0.61796,0.8038,1.02902,0.01848,0.000394774,0.000394774,0.000394774
28,8294.61,0.71379,0.56294,0.01242,0.75573,0.75921,0.79355,0.6299,0.81698,0.96267,0.01911,0.000368986,0.000368986,0.000368986
29,8581.24,0.7185,0.55362,0.01264,0.7857,0.73708,0.77734,0.61143,0.80697,0.99754,0.01864,0.000343401,0.000343401,0.000343401
30,8869.47,0.70294,0.52332,0.01235,0.8369,0.68826,0.79414,0.63208,0.80725,0.93499,0.01865,0.000318121,0.000318121,0.000318121
31,9155.3,0.68199,0.52072,0.01195,0.75391,0.73424,0.79028,0.62608,0.79026,0.98229,0.01806,0.000293246,0.000293246,0.000293246
32,9442.16,0.6779,0.51375,0.01183,0.78301,0.72373,0.77375,0.6134,0.7853,1.05286,0.01804,0.000268874,0.000268874,0.000268874
33,9730.3,0.67369,0.51113,0.01167,0.83135,0.74421,0.82991,0.66737,0.77576,0.93404,0.01783,0.000245101,0.000245101,0.000245101
34,10017.2,0.67048,0.49254,0.01164,0.84589,0.68407,0.80568,0.65435,0.78647,0.92604,0.01829,0.000222021,0.000222021,0.000222021
35,10303.8,0.6558,0.48338,0.01142,0.80165,0.70845,0.80425,0.63811,0.78925,0.94623,0.01812,0.000199725,0.000199725,0.000199725
36,10600.5,0.64859,0.46821,0.01141,0.82505,0.73611,0.80644,0.64724,0.79525,0.93142,0.01831,0.000178301,0.000178301,0.000178301
37,10903,0.6434,0.45831,0.01115,0.80168,0.77578,0.80944,0.64451,0.77678,0.93569,0.018,0.000157833,0.000157833,0.000157833
38,11204.9,0.63627,0.44964,0.01103,0.81005,0.76713,0.8029,0.64903,0.77081,0.94024,0.01784,0.000138402,0.000138402,0.000138402
39,11509.6,0.63847,0.45101,0.01098,0.80292,0.75603,0.79229,0.63311,0.77874,0.97243,0.01791,0.000120086,0.000120086,0.000120086
40,11814.7,0.62213,0.44161,0.01074,0.827,0.7238,0.80353,0.64125,0.78128,0.93693,0.01791,0.000102955,0.000102955,0.000102955
41,12109.7,0.45826,0.23067,0.01131,0.81806,0.71847,0.8062,0.64173,0.78481,0.96973,0.01805,8.7079e-05,8.7079e-05,8.7079e-05
42,12405.5,0.45014,0.21205,0.01096,0.81028,0.73978,0.80116,0.63795,0.7764,0.98136,0.01778,7.2519e-05,7.2519e-05,7.2519e-05
43,12698.4,0.43614,0.19166,0.01067,0.7883,0.77704,0.79753,0.63744,0.78555,0.98317,0.01813,5.93331e-05,5.93331e-05,5.93331e-05
44,12991.9,0.43287,0.20058,0.01052,0.85775,0.69506,0.79652,0.63734,0.78377,1.00617,0.01807,4.75731e-05,4.75731e-05,4.75731e-05
45,13286.9,0.42402,0.19362,0.01022,0.82133,0.75961,0.79817,0.63479,0.78581,0.99875,0.01813,3.72856e-05,3.72856e-05,3.72856e-05
46,13580.4,0.42593,0.1934,0.01031,0.80578,0.76477,0.79667,0.63985,0.78459,0.98814,0.01808,2.85111e-05,2.85111e-05,2.85111e-05
47,13874,0.41906,0.18963,0.01009,0.79887,0.77994,0.79569,0.63236,0.78566,0.98204,0.01807,2.12843e-05,2.12843e-05,2.12843e-05
48,14172.6,0.42057,0.1831,0.01017,0.79454,0.77391,0.78625,0.62726,0.78317,0.99392,0.01811,1.56336e-05,1.56336e-05,1.56336e-05
49,14467.4,0.41946,0.18875,0.01005,0.77995,0.78651,0.79017,0.62923,0.78697,0.99112,0.01815,1.15814e-05,1.15814e-05,1.15814e-05
50,14761.8,0.41822,0.18731,0.00997,0.77912,0.77848,0.79274,0.62985,0.78578,1.00488,0.01809,9.14365e-06,9.14365e-06,9.14365e-06
